datetime,open,high,low,close,volume,변동 %
2021-01-06 0:00,34475.00,40580.00,34420.00,39480.00,17.25K,0.2234
2021-01-07 0:00,37090.00,38795.00,36425.00,37890.00,7.58K,-0.0403
2021-01-08 0:00,38340.00,40940.00,38150.00,40370.00,10.48K,0.0655
2021-01-09 0:00,40165.00,40650.00,39290.00,39675.00,6.10K,-0.0172
2021-01-10 0:00,39640.00,40240.00,38455.00,39020.90,0.41K,-0.0165
2021-01-11 0:00,41287.50,41480.00,39470.00,39960.00,-,0.0241
2021-01-12 0:00,41185.00,41500.00,38715.00,39180.00,4.78K,-0.0195
2021-01-13 0:00,39180.00,39830.00,37580.00,37965.00,5.44K,-0.031
2021-01-14 0:00,38265.00,39945.00,37465.00,39840.00,3.67K,0.0494
2021-01-15 0:00,39940.00,41480.00,37300.00,40755.00,6.71K,0.023
2021-01-16 0:00,41095.00,43430.00,39910.00,42970.00,6.63K,0.0543
2021-01-17 0:00,42820.00,44707.50,42820.00,43917.50,-,0.0221
2021-01-18 0:00,44255.00,46520.00,42890.00,46045.00,7.17K,0.0484
2021-01-19 0:00,45760.00,46800.00,44650.00,45495.00,5.33K,-0.0119
2021-01-20 0:00,45755.00,46835.00,45250.00,46455.00,3.45K,0.0211
2021-01-21 0:00,46315.00,46315.00,43780.00,44360.00,5.19K,-0.0451
2021-01-22 0:00,44310.00,48005.00,43830.00,46505.00,3.80K,0.0484
2021-01-23 0:00,46905.00,47330.00,46905.00,47020.00,-,0.0111
2021-01-24 0:00,46905.00,48100.00,45670.00,46095.00,4.13K,-0.0197
2021-01-25 0:00,46000.00,47205.00,44570.00,45520.00,4.39K,-0.0125
2021-01-26 0:00,44795.00,46105.00,44155.00,44855.00,5.15K,-0.0146
2021-01-27 0:00,44530.00,46895.00,43900.00,46700.00,6.21K,0.0411
2021-01-28 0:00,46545.00,49185.00,46370.00,48730.00,5.40K,0.0435
2021-01-29 0:00,48672.50,49557.50,48652.50,49327.50,-,0.0123
2021-01-30 0:00,48815.00,50585.00,48640.00,49280.00,5.96K,-0.001
2021-01-31 0:00,49520.00,49885.00,47735.00,48210.00,5.78K,-0.0217
2021-02-01 0:00,48205.00,49135.00,47065.00,48705.00,6.13K,0.0103
2021-02-02 0:00,48950.00,49345.00,46230.00,46940.00,6.14K,-0.0362
2021-02-03 0:00,47205.00,48210.00,46420.00,47952.00,-,0.0216
2021-02-04 0:00,49197.50,49510.00,48870.00,48877.50,-,0.0193
2021-02-05 0:00,49070.00,49510.00,47460.00,48765.00,3.42K,-0.0023
2021-02-06 0:00,48610.00,48610.00,46695.00,47390.00,4.06K,-0.0282
2021-02-07 0:00,46940.00,49270.00,46530.00,48320.00,4.28K,0.0196
2021-02-08 0:00,48600.00,50570.00,48400.00,49375.00,4.77K,0.0218
2021-02-09 0:00,49900.00,51260.00,48445.00,50710.00,5.12K,0.027
2021-02-10 0:00,51860.00,52140.00,51790.00,51975.00,-,0.0249
2021-02-11 0:00,51975.00,52985.00,51182.50,52857.50,-,0.017
2021-02-12 0:00,51755.00,53125.00,43705.00,46780.00,13.97K,-0.115
2021-02-13 0:00,46590.00,47440.00,44500.00,46520.00,5.68K,-0.0056
2021-02-14 0:00,46250.00,47465.00,45545.00,46645.00,4.05K,0.0027
2021-02-15 0:00,46545.00,47065.00,44750.00,45675.00,4.85K,-0.0208
2021-02-16 0:00,45120.00,46502.50,45025.00,46110.00,-,0.0095
2021-02-17 0:00,45240.00,46945.00,43310.00,44815.00,7.36K,-0.0281
2021-02-18 0:00,45215.00,47025.00,44705.00,46515.00,3.80K,0.0379
2021-02-19 0:00,46700.00,48510.00,46635.00,48190.00,3.08K,0.036
2021-02-20 0:00,48270.00,48600.00,47050.00,47495.00,4.54K,-0.0144
2021-02-21 0:00,47600.00,48225.00,46670.00,47490.00,3.89K,-0.0001
2021-02-22 0:00,46952.50,47612.50,46822.50,47217.50,-,-0.0057
2021-02-23 0:00,47415.00,47620.00,42365.00,43780.00,8.33K,-0.0728
2021-02-24 0:00,43410.00,43870.00,40085.00,42030.00,8.52K,-0.04
2021-02-25 0:00,41330.00,44025.00,40145.00,43385.00,7.83K,0.0322
2021-02-26 0:00,43255.00,44970.00,43095.00,44785.00,5.36K,0.0323
2021-02-27 0:00,44790.00,45115.00,40855.00,42359.40,1.10K,-0.0542
2021-02-28 0:00,43130.00,44207.50,42942.50,43470.00,-,0.0262
2021-03-01 0:00,43635.00,44580.00,42770.00,43150.00,5.22K,-0.0074
2021-03-02 0:00,43215.00,43555.00,41145.00,41600.00,4.67K,-0.0359
2021-03-03 0:00,41890.00,42735.00,40785.00,41155.00,3.69K,-0.0107
2021-03-04 0:00,41240.00,44175.00,41040.00,43615.00,4.87K,0.0598
2021-03-05 0:00,43735.00,48705.00,43330.00,48390.00,9.40K,0.1095
2021-03-06 0:00,48575.00,48690.00,48030.00,48587.50,-,0.0041
2021-03-07 0:00,48070.00,50000.00,47180.00,49855.00,5.87K,0.0261
2021-03-08 0:00,49310.00,52165.00,49100.00,51630.00,8.41K,0.0356
2021-03-09 0:00,52165.00,55935.00,50855.00,55700.00,9.66K,0.0788
2021-03-10 0:00,55580.00,56325.00,53855.00,54470.00,5.32K,-0.0221
2021-03-11 0:00,54925.00,56815.00,54155.00,55180.00,5.06K,0.013
2021-03-12 0:00,54852.50,55445.00,54835.00,55137.50,-,-0.0008
2021-03-13 0:00,55330.00,58355.00,54820.00,57990.00,5.69K,0.0517
2021-03-14 0:00,57700.00,58215.00,54370.00,55815.00,6.69K,-0.0375
2021-03-15 0:00,56350.00,57950.00,54700.00,57750.00,6.94K,0.0347
2021-03-16 0:00,57700.00,59025.00,57190.00,58195.00,6.32K,0.0077
2021-03-17 0:00,58150.00,63525.00,57250.00,62075.00,11.67K,0.0667
2021-03-18 0:00,63012.50,63012.50,60800.00,61890.00,-,-0.003
2021-03-19 0:00,61120.00,63230.00,60100.00,61650.00,10.02K,-0.0039
